ID,TITLE,TITLE_NORMALIZED,AUTHOR,EDITION,PUBLICATION_PLACE_AND_PUBLISHER,PUBLICATION_DATE,EXTENT,MATCHED_TITLES,TITLE_AUTHOR_DATE_COMBINED_NORMALIZED,TITLE_REMAINDER,AUTHOR_QUALIFIER,AUTHOR_DATE,BEGIN_PUBLICATION_DATE,PUBDATE_260,PUBDATE_264,PUBPLACE_260,PUBPLACE_264,PUBLISHER_260,PUBLISHER_264,ASSOCIATED_ISBNS,ASSOCIATED_OCLC_NUMBERS,LCCN,ATHABASCA,BROCK,CALGARY,CONCORDIA,LAC,LAVAL,MANITOBA,MCGILL,MEMORIAL,MONTREAL,OTTAWA,QUEENS,REGINA,TORONTO,UALBERTA,UBC,WILFRID_LAURIER,ALL_SCHOOLS,TITLE_MATCH_COUNT,ATHABASCA_RETENTION,BROCK_RETENTION,MEMORIAL_RETENTION,TORONTO_RETENTION,LAC_RETENTION,UBC_RETENTION,CALGARY_RETENTION,UALBERTA_RETENTION,CONCORDIA_RETENTION,LAVAL_RETENTION,MANITOBA_RETENTION,MCGILL_RETENTION,MONTREAL_RETENTION,QUEENS_RETENTION,REGINA_RETENTION,WILFRID_LAURIER_RETENTION,OTTAWA_RETENTION,RETENTIONS_APPLIED
161,We call it survival :,,"Okpik, Abraham,",,,,384 p. :,,wecallitsurvivalthelifestoryofabrahamokpik-okpi-2005,the life story of Abraham Okpik /,,1929-1997.,2005,c2005.,,Iqaluit :,,"Nunavut Arctic College,",,"1896204716, 9781896204710","64502438, 811614775, 228784386",,,,YES,,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,REGINA-1 MEMORIAL-1 TORONTO-28 LAC-36 CALGARY-3 UALBERTA-19 OTTAWA-41 MANITOBA-20 MCGILL-28 MONTREAL-4 QUEENS-12 TORONTO-35,11,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3
163,We need to know who we are :,,"Quassa, Paul,",,,,240 pages :,,weneedtoknowwhowearethelifestoryofpaulquassa-quas-2008,the life story of Paul Quassa /,,,2008,,[2008];©2008,,"Iqaluit, NU :",,"Nunavut Arctic College,","1896204880, 9781896204888","399591830, 798993731",,,,,,YES,,YES,YES,YES,YES,YES,,,,YES,,,MEMORIAL-16 LAC-49 UALBERTA-39 OTTAWA-43 MANITOBA-57 MCGILL-29 MONTREAL-8,7,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,3
1,2006-2007 annual report,,,,,,22 p. :,,20062007annualreportmoveforwardwithus--2007,move forward with us /,,,2007,[2007?],,"[Iqaluit, Nunavut?] :",,"Nunavut Arctic College,",,,708253192,,,,,,,,,,,,,,,YES,,,,TORONTO-34,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2013-2014 annual report /,,,,,,"9, 2 pages, 19 unnumbered pages :",,20132014annualreport--2014,,,,2014,,2014.,,"[Iqaluit, Nunavut] :",,"Nunavut Arctic College,",,1020287581,,,,,,,,,,,,,,,YES,,,,TORONTO-29,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,Annual report /,,,,,,,,annualreport--199u,,,,199u,[199-]-,,"[Igaluit, NT] :",,"Nunavut Arctic College,",,,1035971832,,,,,,YES,,,,,,,,,,,,,LAC-80,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,Annual report 2005-2006,,,,,,22 p. :,,annualreport20052006--2006,,,,2006,[2006?],,"[Iqaluit, Nunavut] :",,"Nunavut Arctic College,",,,436942425,,,,,,,,,,,,,,,YES,,,,TORONTO-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,Annual report 2007-2008,,,,,,32 p. :,,annualreport20072008--2008,,,,2008,[2008?],,"[Iqaluit, Nunavut?] :",,"Nunavut Arctic College,",,,708252708,,,,,,,,,,,,,,,YES,,,,TORONTO-6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,Annual report 2015-2016 /,,,,,,38 pages :,,annualreport20152016--2016,,,,2016,,2016.,,"[Iqaluit, Nunavut] :",,"Nunavut Arctic College,",,1020287580,,,,,,,,,,,,,,,YES,,,,TORONTO-16,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,Arraagutumanutunikkaalia 2011-2012 /,,,,,,"10, 2 pages, 14 unnumbered pages :",,arraagutumanutunikkaalia20112012--2012,,,,2012,,2012.,,"[Iqaluit, Nunavut] :",,"Nunavut Arctic College,",,1020287582,,,,,,,,,,,,,,,YES,,,,TORONTO-2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,Elementary Inuktitut dialogues /,,"Mallon, Mick,",,,,83 pages :,,elementaryinuktitutdialogues-mall-1998,,,,1998,,1998.,,Nunavut :,,"Nunavut Arctic College, Nunatta Campus,",,56715316,,,,,,,,YES,,YES,,YES,,,,YES,,,MEMORIAL-20 UALBERTA-71 OTTAWA-32 MANITOBA-66,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,3
39,Exercises for Introductory Inuktitut /,,"Mallon, S. T.",,,,163 p. in various pagings :,,exercisesforintroductoryinuktitut-mall-1996,,"(Sidney Tate),",1933-,1996,[1996?],,[Iqaluit] :,,"Nunavut Arctic College,",,,793157918,,,,,,YES,,,,,,,,,,,,,LAC-61,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
44,Guidelines for working with inuit elders /,,"Owlijoot, Pelagie.",,,,,,guidelinesforworkingwithinuitelders-owli-2010,,,,2010,2008.,,[Nunavut?] :,,"Nunavut Arctic College,",,,,,,,,,,,,,,,,,,,,YES,,UBC-8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
57,Index to Inuktitut magazine :,,,,,,102 p.,,indextoinuktitutmagazine19722010--2010,1972-2010 /,,,2010,2010].,,[Nunavut :,,"Nunavut Arctic College Library,",,,681347923,,,,,,,,,,,,,,,,YES,,,UALBERTA-72,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
59,Intermediate Inuktitut /,,"Mallon, S. T.",Version 1.2.,,,220 p. in various pagings :,,intermediateinuktitut-mall-1999,,"(Sidney Tate),",1933-,1999,1999.,,Iqaluit :,,"Nunavut Arctic College,",,,793157935,,,,,,YES,,,,,,,,,,,,,LAC-62,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
64,Introductory Inuktitut :,,"Mallon, S. T.",Version 2.1.,,,161 p.,,introductoryinuktitutreferencegrammar-mall-1995,reference grammar /,"(Sidney Tate),",1933-,1995,1995.,,Iqaluit :,,"Nunavut Arctic College,",,,793157937,,,,,,YES,,,,,,,,,,,,,LAC-63,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
65,Inuinnaqtun English dictionary.,,,,,,218 p. :,,inuinnaqtunenglishdictionary--1996,,,,1996,[1996?],,"Cambridge Bay, Nunavut :",,"Nunavut Arctic College,",,,756324571,,,,,,,,,,,,,,,,YES,,,UALBERTA-70,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
85,Inuktitut 125 :,,"Mallon, S. T.",,,,1 v. (various pagings) :,,inuktitut125asetofintroductorydialoguesininuktitut-mall-1996,a set of introductory dialogues in Inuktitut /,"(Sidney Tate),",1933-,1996,[1996],,Iqaluit :,,"Nunavut Arctic College, Nunatta Campus,",,,855304113,,,,,,,,YES,,,,,,,,,,,MANITOBA-65,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
112,Nunavut Arctic College 2004-2005 annual report,,,,,,28 p. :,,nunavutarcticcollege20042005annualreportninuvutukiuqtaqtumisilattuqsarvik20--2005,Ninuvut ukiuqtaqtumi silattuqsarvik 2004-2005 arraagutamaaqsiut unikkaaliaq.,,,2005,[2005?],,[Iqaluit] :,,"Nunavut Arctic College,",,,436942095,,,,,,,,,,,,,,,YES,,,,TORONTO-30,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
