ID,TITLE_AUTHOR_DATE_COMBINED_NORMALIZED,TITLE,TITLE_REMAINDER,AUTHOR,AUTHOR_QUALIFIER,AUTHOR_DATE,EDITION,BEGIN_PUBLICATION_DATE,PUBDATE_260,PUBDATE_264,PUBPLACE_260,PUBPLACE_264,PUBLISHER_260,PUBLISHER_264,EXTENT,ASSOCIATED_ISBNS,ASSOCIATED_OCLC_NUMBERS,LCCN,ATHABASCA,BROCK,CALGARY,CONCORDIA,LAC,LAVAL,MANITOBA,MCGILL,MEMORIAL,MONTREAL,OTTAWA,QUEENS,REGINA,TORONTO,UALBERTA,UBC,WILFRID_LAURIER,ALL_SCHOOLS,TITLE_MATCH_COUNT,ATHABASCA_RETENTION,BROCK_RETENTION,MEMORIAL_RETENTION,TORONTO_RETENTION,LAC_RETENTION,UBC_RETENTION,CALGARY_RETENTION,UALBERTA_RETENTION,CONCORDIA_RETENTION,LAVAL_RETENTION,MANITOBA_RETENTION,MCGILL_RETENTION,MONTREAL_RETENTION,QUEENS_RETENTION,REGINA_RETENTION,WILFRID_LAURIER_RETENTION,OTTAWA_RETENTION,RETENTIONS_APPLIED
52,alltruethingsahistoryoftheuniversityofalberta19082008-macl-2008,All true things :,"a history of the University of Alberta, 1908-2008 /","Macleod, R. C.,",,1940-,1st ed.,2008,c2008.,,"Edmonton, Alta. :",,"University of Alberta Press,",,"xx, 371 p. :","0888644442, 9780888644442","231879807, 458761385",,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,CALGARY-310 BROCK-381 MEMORIAL-191 TORONTO-380 LAC-525 UBC-40 CALGARY-660 UALBERTA-583 UALBERTA-679 CONCORDIA-159 MANITOBA-367 MCGILL-336 MONTREAL-86 QUEENS-185 REGINA-172 OTTAWA-122,15,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
54,alrashidmosquebuildingcanadianmuslimcommunities-waug-2018,Al Rashid Mosque :,building Canadian Muslim communities /,"Waugh, Earle H.,",,1936-,First edition.,2018,,[2018];©2018,,"Edmonton, Alberta, Canada :",,"Gutteridge Books an imprint of The University of Alberta Press,","xxv, 256 pages :","1772123331, 1772123390, 9781772123333, 9781772123395, 9781772123401",970028704,,,YES,YES,,YES,,,YES,YES,,,YES,,YES,YES,,,BROCK-299 MEMORIAL-99 TORONTO-32 TORONTO-852 LAC-687 CALGARY-588 UALBERTA-759 MCGILL-464 QUEENS-100,9,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
55,alternativefuturesfortheeducationofstudentswithseveredisabilities--1988,Alternative futures for the education of students with severe disabilities /,,,,,,1988,1988.,,Edmonton :,,"University of Alberta, Faculty of Education, Publication Services,",,"iii, 205 p.","0888649363, 9780888649362","18019059, 750395402, 77249535",,,YES,YES,,YES,,YES,,,YES,YES,,,YES,YES,,,BROCK-227 TORONTO-681 LAC-128 CALGARY-621 UALBERTA-30 MANITOBA-42 MONTREAL-10 OTTAWA-443,8,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3
56,ambitionandrealitythefrenchspeakingcommunityofedmonton17951935-hart-1980,Ambition and reality :,the French-speaking community of Edmonton 1795-1935 /,"Hart, E. J.",,,,1980,1980.,,Edmonton :,,"Salon d'histoire de la francophonie albertaine,",,156 pages :,"0888649770, 9780888649775",8575129,,,,YES,YES,YES,,,YES,YES,,YES,YES,,YES,YES,,YES,MEMORIAL-176 TORONTO-868 LAC-42 CALGARY-429 UALBERTA-7 CONCORDIA-3 MCGILL-42 QUEENS-409 WILFRIDLAURIER-9 OTTAWA-283,10,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
57,ambitionsetrealiteslacommunautefrancophonededmonton17951935-hart-1981,Ambitions et réalités :,"la communauté francophone d'Edmonton, 1795-1935 /","Hart, E. J.",,,,1981,1981.,,Edmonton :,,"Salon d'histoire de la francophonie albertaine,",,"[ix], 166 p. :","0888649754, 9780888649751","15901104, 607216204",,,,YES,,YES,,YES,,,YES,,,,YES,YES,,,TORONTO-27 LAC-95 CALGARY-11 UALBERTA-16 UALBERTA-159 MANITOBA-44 MONTREAL-1,7,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3
58,amiabletyrannyofpeisistratusorthefutureofclassicalstudies-alex-1931,The amiable tyranny of Peisistratus; or :,The future of classical studies.,"Alexander, William Hardy,",,1878-,,1931,,1931.,,[Edmonton] :,,"University of Alberta Press,",20 pages,,41648735,,,,,,,,,,,,,YES,,YES,,,,TORONTO-190 QUEENS-401,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
60,amongthechigliteskimos-peti-1999,Among the Chiglit Eskimos /,,"Petitot, Émile Stanislas Joseph,",,1838-1917.,,1999,1999.,,Edmonton :,,"Canadian Circumpolar Institute,",,187 pages :,1896445136,"41347224, 752300711, 1454719",cn 99910518,,,YES,,,,YES,,YES,,,,YES,YES,,,,MEMORIAL-155 TORONTO-300 CALGARY-177 MANITOBA-374 REGINA-44,5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3
61,amphibiansandreptilesofalbertaafieldguideandprimerofborealherpetology-russ-1993,The amphibians and reptiles of Alberta :,a field guide and primer of boreal herpetology /,"Russell, Anthony P. (Anthony Patrick),",,1947-,,1993,1993.,,Calgary :,,"University of Calgary Press, University of Alberta Press,",,"x, 264 p., [16] p. of col. plates :","088864261X, 0888642628, 1895176204, 1895176468, 9780888642615, 9780888642622, 9781895176209, 9781895176469",29470861,,,YES,,YES,YES,,,YES,,,,,,YES,,YES,,BROCK-149 TORONTO-233 LAC-266 UBC-1 CONCORDIA-20 CONCORDIA-22 MCGILL-161,7,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
62,analogonrationisfestschriftfuergerwinmarahrenszum65geburtstag--1994,Analogon rationis :,Festschrift fuer Gerwin Marahrens zum 65. Geburtstag /,,,,,1994,1994.,,Edmonton :,,"M. Henn and C. Lorey,",,"xiii, 518 p.",0888642660,30068984,,,,,,YES,,,,YES,YES,,YES,,YES,YES,,,QUEENS-41 MEMORIAL-147 TORONTO-108 LAC-277 UALBERTA-113 MONTREAL-9,6,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
64,analysisandevaluationoflanduseinthespecialareasofalberta-rust-1956,An Analysis and evaluation of land use in the special areas of Alberta /,,"Rust, Ronald Stuart.",,,,1956,1956.,,Edmonton :,,"University of Alberta Press,",,"xv, 264, [17] leaves :",,911915112,,,,YES,,,,,,,,,,,,,,,CALGARY-198,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
